label,LinearSVC_pred,overall,summary,text_preview
Neutral,Positive,3.0,Three Stars,Three Stars. work fine
Positive,Negative,5.0,A 30 second job,"A 30 second job. The GE instruction sheet was incorrect, there's no adapter on top of the MSWF filter which needs removing. Just peel off the tin foil cover on "
Neutral,Negative,3.0,Don't last like the originals.,"Don't last like the originals.. When first installed my humidifier emptied it's tank in less than 24 hours, great.  By week 4 it was taking over 2 days and at w"
Negative,Positive,2.0,Here we go again,Here we go again. 2nd one I bought in 6 years.  Samsung has an issue with this model fridge's ice maker.
Negative,Neutral,2.0,Big and uncomfortable to use. It does spin as ...,Big and uncomfortable to use. It does spin as .... Big and uncomfortable to use. It does spin as advertised. Does not dry my hair as fast as my previous dry bru
Positive,Negative,5.0,I saved a ton of money buying this package for ...,"I saved a ton of money buying this package for .... I saved a ton of money buying this package for $30 bucks. Anywhere else, even on amazon, all these parts ind"
Negative,Positive,1.0,While I can honestly say I love the induction cooking the stove is awful,While I can honestly say I love the induction cooking the stove is awful. I have owned a Ge profile induction stove for 4 years. While I can honestly say I love
Neutral,Positive,3.0,Right part but questionable quality,"Right part but questionable quality. Similar to some other experiences here.  Delivered promptly in July 2013 and pretty easily installed.  One year later, same"
Positive,Neutral,4.0,"Works, some fitting issues","Works, some fitting issues. Works, but does not fit all the way down with some models."
Positive,Negative,5.0,"Love it, but don't buy it from HCcost","Love it, but don't buy it from HCcost. Ordered it, took 2.5 weeks to arrive.  Upon arrival, top of box was badly damaged. Upon opening it, range had a major den"
Positive,Neutral,4.0,Good replacement part,Good replacement part. This part worked well but he design is bad and will probably need to be replaced again as the gasket material will work itself loose.
Negative,Positive,2.0,Good seal but won't hold door closed,Good seal but won't hold door closed. Quality of the gasket was great install was really easy and strait forward. Take your time with the cuts  and you shouldin
Neutral,Positive,3.0,Three Stars,Three Stars. expensive but works.
Neutral,Negative,3.0,Not for every use...,"Not for every use.... The product is well made, although it ""unwinds"" quite easily.  You have to treat it gently to keep from ruining it.  I ordered this item b"
Positive,Negative,4.0,Good alternative to GE OEM.,"Good alternative to GE OEM.. I am updating this feedback from poor to good. It turns out, this filter was not to blame for poor performance, my water inlet valv"
Positive,Negative,5.0,I agree with other reviewers. It's way overpriced for ...,I agree with other reviewers. It's way overpriced for .... I agree with other reviewers.  It's way overpriced for what it is but it looks OEM and has worked for
Positive,Neutral,5.0,"Work well, but remove the old plastic filter under the spin basket first","Work well, but remove the old plastic filter under the spin basket first. Remove the agitator (easy - one bolt - wiggle/lift from bottom). These replace the usu"
Negative,Positive,1.0,I have excellent air flow and used on medium heat for the ...,I have excellent air flow and used on medium heat for the .... I have excellent air flow and used on medium heat for the dryer setting. Thermal fuse cutout fail
Neutral,Positive,3.0,It looks like what we are using,It looks like what we are using. I will not install until the summer is over and we turn on the heat. It looks like what we are using.
Neutral,Negative,3.0,All different readings...,All different readings.... Just opened the boxes and installed the batteries.  Set them on the bar between the kitchen and living room.  I saw a few posts that 
Negative,Positive,1.0,dead after 1 year,dead after 1 year. I bought this as a replacement and installed it last year.  It is exactly one year and now it is dead while the OEM last for 7 years.
Positive,Negative,5.0,Humidifier Blessing,"Humidifier Blessing. I just started using it, but it is going to be a lot less trouble adding chemicals to the water several times a day."
Positive,Negative,5.0,repairs kitchenaid,"repairs kitchenaid. Seems this part fits GE, Kitchenaid, Kenmore, Kirkland brand, whirlpool. If your door keeps popping open then most of the time its this part"
Neutral,Positive,3.0,Great ice! But loud!,"Great ice! But loud!. My wife and daughter love the little-nugget ice of the Scotsman, but it operates very noisy. I had a Kitchen-Aid prior to this Scotsman, a"
Negative,Positive,2.0,Poor range hood,"Poor range hood. most 42"" bough are intended to upgrade older existing range hood. Broan has decided to make it difficult. Most older range hood are connected t"
Positive,Negative,5.0,Replacement part,"Replacement part. The original one of our Frigidaire broke during the first year.  I hadn't asked for a replacment then  thinking, we likely broke it somehow.  "
Positive,Neutral,4.0,Could be thicker,"Could be thicker. I live in Hawaii and the sun/rain leaves rust on my washing machine quickly.  My relative made a cover out of thick water-proof army material,"
Positive,Neutral,4.0,Prompt delivery,Prompt delivery. Arrived promptly. . it fits the dryer door but for some reason  the door doesn't feel tight and secure. I think  it's just my poor dryer door i
Neutral,Negative,3.0,didn't fit,"didn't fit. Which was no fault to the item! Seems to be a quality product, just didn't work for my freezer."
Neutral,Positive,3.0,Good Deal,Good Deal. Works well
Negative,Positive,2.0,i did a better job with a broom handle and a kitchen trash,i did a better job with a broom handle and a kitchen trash. naw.... i did a better job with a broom handle and a kitchen trash can
Positive,Negative,4.0,Older model LG washers - Beware!,"Older model LG washers - Beware!. We have a ~2007 LG washer.  Replaced the gasket with this one, but didn't recognize that it has a drain on the bottom, which o"
Negative,Neutral,1.0,not satisfied,"not satisfied. doesn't hold much water,fan doesn't blow air very hard at all,cannot feel massage much at all & it is a little big & heavy on my neck."
Neutral,Positive,3.0,Grossly overpriced but does the job,"Grossly overpriced but does the job. Grossly overPriced for what it is, but it works well and is easy to install."
Positive,Negative,4.0,Love this little machine!,"Love this little machine!. I have REALLY enjoyed making ice with this machine!
The water hopper holds about 3/4 gallon of water (to the fill line), the ice hopp"
Neutral,Positive,3.0,never again....,never again..... This was my first time ordering a filter on line for any machine & for the price this was ridiculous. Next time I'll just buy it at the store.
Positive,Neutral,5.0,Better than the unit that came with the refrigerator,"Better than the unit that came with the refrigerator. Better than the unit that came with the refrigerator.  Easy to install, though depending on your refrigera"
Positive,Negative,4.0,Fusible Link,Fusible Link. The replacement thermostat and fusible link worked well and dryer is back up and running.  I did purchase a cheaper version of this product from a
Neutral,Positive,3.0,Worked but didn't arrive quickly.,Worked but didn't arrive quickly.. The part was what I needed for my dryer. I hired someone to install it because I didn't want to risk not doing it right or da
Positive,Negative,5.0,Wonderful you don't have to get this from the manufacturer,Wonderful you don't have to get this from the manufacturer. Wonderful you don't have to get this from the manufacturer.  I had a blocked drain with that stupid 
Negative,Positive,2.0,Runs loud,"Runs loud. My parents got this for a camping trip this summer to replace another that had broken after several years.  I wanted to like this cooler, but it wasn"
Negative,Neutral,1.0,Warning about using liners in gas ovens,Warning about using liners in gas ovens. These liners block the air flow in a gas oven.  Do not block air flow slots in bottom of oven.  Do not cover entire rac
Neutral,Negative,3.0,Three Stars,Three Stars. Wrong size returning didn't work
Neutral,Positive,3.0,It makes ice... sometimes.,"It makes ice... sometimes.. This is the third one of these I've purchased in four years, so I anticipate that it will last for about a year.  This one worked ou"
Neutral,Positive,3.0,Sweet let there be ice.,Sweet let there be ice.. Sweet lord let there ice. This is a saver on the hot days in the South. It makes ice in about 6 mins when its working and is quiet more
Neutral,Positive,3.0,Cheap fix for your dryer,Cheap fix for your dryer. Well made and all components are where they are supposed to be. Quality element.  My only gripe is that the width of this element is a
Neutral,Positive,3.0,Three Stars,Three Stars. works
Neutral,Positive,3.0,Eh.  Not worth it.,Eh.  Not worth it.. S L O W.  Just one or two low to mid-weight garments at a time.  Bath towels - let them hang over your shower curtain all night.
Positive,Negative,5.0,My 12 month old loves this activity table. We ...,My 12 month old loves this activity table. We .... My 12 month old loves this activity table.  We just keep water in ours for now but plan on adding the sand wh
Neutral,Positive,3.0,Smelly Samsung,"Smelly Samsung. We purchased all new Samsung products when building our new home, and other than the dishwasher, we are satisfied.  The refrigerator is a bit no"
Neutral,Negative,3.0,LG Dishwasher,LG Dishwasher. We have been disappointed in our LG Dishwasher.  This is the second part that needed replacing since we purchased its 2 years ago.  Would not eve
Neutral,Negative,3.0,Failure suspected,Failure suspected. After a month our water started tasted very bad (well it tasted like the tap water). I removed the filter and purged it and put it back to th
Neutral,Positive,3.0,promisd delivery,promisd delivery. okay for the price as  extra washer ;good for water saving consumer who need a quick and small wash  but it is noisy. delivery of it was set b
Neutral,Negative,3.0,The two large plates did not fit my stove! ...,The two large plates did not fit my stove! .... The two large plates did not fit my stove!!!! The racks were slightly bigger than the plate so it made the pots 
Neutral,Negative,3.0,Power module not included,"Power module not included. Dont be fooled by the photo.  Unit did not come with power module.  Had to use the one from the old unit.  If power module is bad, yo"
Positive,Neutral,5.0,Five Stars,Five Stars. bought it just in case and didn't need it-don't buy it until you get to that point
Negative,Positive,2.0,Did not last,"Did not last. Worked great to start with. No problems. However, I bought it in December and its dead again in now, in May."
Neutral,Negative,3.0,Not so user friendly,Not so user friendly. This filter is tightly packed in a box unlike the previous ones I ordered.  When I pulled it out of the box I saw a layer of wire-like mes
Positive,Neutral,5.0,Five Stars,Five Stars. I guess it works as it should.
Positive,Negative,5.0,They work! But the system doesn't last,"They work! But the system doesn't last. Too bad the system these are for turned out to be garbage. But hey, it was fun while it lasted."
Neutral,Positive,3.0,Does what it is supposed to do,Does what it is supposed to do. Fits my dryer very well.  This works as it is discribed.  The reason it is not getting 5 stars is because the metal will warp an
Negative,Positive,1.0,This took 10-20 minutes to boil water on the highest ...,This took 10-20 minutes to boil water on the highest .... This took 10-20 minutes to boil water on the highest setting. I checked the air clearance and there we
Neutral,Negative,3.0,Like my soda colder,Like my soda colder. Bought for sodas. Lucky if temp goes down to 55 degrees.  Like my soda colder. If you purchase similar product get compressor unit.
Neutral,Positive,3.0,Nice enough for the price.,"Nice enough for the price.. Looks good. Has a connector on the bottom with a hose washer which doesn't do anyone any good in the USA, but you can attach an NPT "
Positive,Neutral,4.0,The bottom needs to be better made.,"The bottom needs to be better made.. Looks and fits like the original Kenmore.
Unfortunately, it does not appear to be any heavier built, than the first two bas"
Negative,Neutral,1.0,e-mail you never heared got the extender theres only one ...,e-mail you never heared got the extender theres only one .... e-mail you never heared got the extender theres only one theres to the side of stove you didn't me
Positive,Negative,5.0,I bought 2,I bought 2. Water.
Negative,Positive,2.0,did not go in as easy as the original one,did not go in as easy as the original one. have to be careful installing. did not go in as easy as the original.
Positive,Negative,5.0,Fit my stove,Fit my stove. Fit my stove
Negative,Neutral,2.0,Had to super glue them on so as to not scratch paint ...,Had to super glue them on so as to not scratch paint .... Needs to be longer. Swedge covers for loops slide off. Had to super glue them on so as to not scratch 
Neutral,Positive,3.0,Three Stars,Three Stars. What I expected
Negative,Positive,1.0,Do not buy,Do not buy. These filters do not work on my GE refrigerator. The water would back up and create a lot of pressure. The GE brand filters work fine.
Negative,Neutral,2.0,Dries out even when i follow manufacturers directions. Takes ...,Dries out even when i follow manufacturers directions. Takes .... Dries out even when i follow manufacturers directions. Takes very long to raise humidity in ro
Positive,Neutral,5.0,Fast and timely delivery.... Product was as expected.,Fast and timely delivery.... Product was as expected.. A filter is a filter.  It is a necessary accessory to an important product.  It is certainly difficult to
Positive,Negative,5.0,"Genuine FSP, comes with switch as shown - too bad the bearings are non-serviceable.","Genuine FSP, comes with switch as shown - too bad the bearings are non-serviceable.. After 25 years my old motor froze its bearings. Will hopefully get another "
Neutral,Positive,3.0,Great price but you have to take apart to redo joints so not to leak water,Great price but you have to take apart to redo joints so not to leak water. Price is great but all joint leak water pipe threads have no joint compound
Negative,Neutral,1.0,Tube size is 1/10 of what is listed,Tube size is 1/10 of what is listed. Not 1.6 ounces as listed. It is .16 of an ounce. Tube size also grossly incorrect..it is much smaller. Enough for a couple 
Positive,Negative,4.0,Good choice for range hood.,"Good choice for range hood.. Relatively quiet, especially at lower speeds.  Lights (not included) bright.  Bought wrong size first; company accepted return (I p"
Positive,Negative,4.0,cheap,cheap. Lasted a week
Negative,Positive,1.0,LOUSY Fagor 36 gas cooktop,LOUSY Fagor 36 gas cooktop. We are going to bite the bullet and get rid of this very lousy cooktop after one year of frustration with performance.
Neutral,Positive,3.0,"Not a bad value, but could be way better","Not a bad value, but could be way better. I was using Husky brand compactor bags and those are super sturdy bags, but they slip. These bags, while they are a ni"
Positive,Neutral,4.0,Water taste is fine. Not sure why all of the negative reviews ...,Water taste is fine. Not sure why all of the negative reviews .... Water taste is fine. Not sure why all of the negative reviews but after flushing the initial 
Neutral,Positive,3.0,she like,"she like. Got this for my daughter, she like it"
Positive,Neutral,5.0,Five Stars,Five Stars. ok
Negative,Neutral,1.0,Room temperature incorrect.,Room temperature incorrect.. Doesn't rate correctly on the room temperature at all. Which makes me concerned about the humidity reading also.
Positive,Neutral,5.0,Seems to work very well. I tested it by ...,Seems to work very well. I tested it by .... Seems to work very well.  I tested it by putting it in different rooms that had varying moisture content and it rea
Positive,Neutral,4.0,Look different than original dampers but did fit and did the job.,Look different than original dampers but did fit and did the job.. These don't look like the originals but are supposedly a German made improved version.  Can't
Positive,Neutral,5.0,Worked as it should,Worked as it should. Stopped the white dust
Negative,Neutral,1.0,Filters a little oversized and required filing to fit,Filters a little oversized and required filing to fit. Filter plastic frame a little too big to fit flush so cover could close requiring plastic to be filed to 
Positive,Negative,5.0,Seem to be accurate,Seem to be accurate. They seem to be accurate.  All the one's I ordered have values close to each other and close to other hygrometers I own.  I don't have a ca
Negative,Positive,1.0,"When we first installed it, there was a very ...","When we first installed it, there was a very .... When we first installed it, there was a very strong methane smell from the dispensed water. Now, after dumping"
Positive,Negative,5.0,OEM replacement!,"OEM replacement!. Whirlpool Senseon Dryer....bought a generic one first, and it lasted for about 9 days.  Returned it and ordered this one.  This was an actual "
Neutral,Negative,3.0,"You need to know the trick or it won't ""seat"" properly.","You need to know the trick or it won't ""seat"" properly.. After 45 minutes of trying to get this product to click into place I started reading the 1 and 2 star r"
Negative,Positive,2.0,Two Stars,Two Stars. Placing on lower oven rack as recommended did affect our baking time. Although great on the grill.
Positive,Negative,4.0,I loved it while it worked,I loved it while it worked. I had my ice maker for about a month and a half.  Now it quit making ice.  The water does not go in and the fan doesn't turn on.  Wh
Neutral,Positive,3.0,Works but not the same as the oem timer.,Works but not the same as the oem timer.. The part was easy to replace but it does not work quite like the oem versions. This will get your freeze defrosting ag
Positive,Neutral,5.0,Five Stars,Five Stars. it sure quieted the dryer down
Positive,Negative,5.0,"this is a standard 18"" dishwasher.. i think ...","this is a standard 18"" dishwasher.. i think .... this is a standard 18"" dishwasher .. i think the vast majority of them are the same (maybe even same manufactur"
Positive,Negative,5.0,I am amazed that something as common as this is not a ...,I am amazed that something as common as this is not a .... I am amazed that something as common as this is not a universal size. Bought two at Home Depot nbefor
Negative,Positive,1.0,Lead compliant? Unsure.,Lead compliant? Unsure.. I recently ordered this because the Q&A states hat it removes lead. There is NOTHING on the packaging or product that states this. Save
Positive,Negative,5.0,Some advice on cookware,Some advice on cookware. I have had this stove for a few months and love it.  I was so disappointed to have to go from gas to anything other than gas and induct
Positive,Neutral,5.0,Does what you need it to,Does what you need it to. Worked great as a temporary solution until we could install our vents.
Positive,Neutral,4.0,Four Stars,Four Stars. OK
Positive,Negative,5.0,This item did not work . I need to return,"This item did not work . I need to return. This item did not work please I need a refund.
Thank you"
Neutral,Negative,3.0,Cheap valve will work for two years tops,"Cheap valve will work for two years tops. Does what it supposed to do, but I seem to burn through these valves every two years. DO NOT run 5 gallons of water th"
Neutral,Positive,3.0,not really the right one,not really the right one. there is a small gap between the dryer top vent and  the top of filter screen handle but  it beats a blank and serves the purpose for 
Negative,Positive,2.0,Works great. Just not for long.,"Works great. Just not for long.. Product works, but be prepared to buy a new one every couple of years. Purchased 03/05/15 - DOA 11/16/16."
Neutral,Positive,3.0,Three Stars,Three Stars. It is working great but wouldn't give it any higher than a three because it is still new.
Neutral,Negative,3.0,Works but it's EXPENSIVE!!,Works but it's EXPENSIVE!!. We bought this when we lived in an apartment. We couldn't buy a water softener because we had no where to put one. Installation was 
Neutral,Negative,3.0,Not good,"Not good. On time,product as a discribe but after a week stop working."
Neutral,Positive,3.0,Limited instructions.. cannot find where it goes on ...,Limited instructions.. cannot find where it goes on .... Limited instructions .. cannot find where it goes on my TF700.
Neutral,Positive,3.0,I am pleased with the price,"I am pleased with the price. I have used these filters for several years. I am pleased with the price, but I am not pleased at all with the shipping/delivery.  "
Positive,Neutral,4.0,Very flimsy but they will serve my purpose for them ...,Very flimsy but they will serve my purpose for them .... Very flimsy but they will serve my purpose for them. I'm using them to cover burners on an outdoor kitc
Neutral,Negative,3.0,A little disappointed,A little disappointed. Thought it would stick to the stovetop better.theres a little wrinkle in it and everytime I wipe down stovetop it moves out of place. but
Positive,Negative,4.0,Good Washer Drain Pump,Good Washer Drain Pump. This washer drain pump does its job well at half the price of what the dealer wanted and I installed it myself and save lots of labor co
Neutral,Negative,3.0,Nice Product Just Didn Fit My Refrig,"Nice Product Just Didn Fit My Refrig. Didnt fit, so had to return."
Positive,Neutral,4.0,Broan Range Hood,Broan Range Hood. This product is sleek and quiet.  The only thing I didn't like is the old halogen bulbs use to go high/med/low and new LED bulb while brighter
Positive,Neutral,5.0,Worth The Premium Price!,"Worth The Premium Price!. Far better than the generic equivalent from a major home center (H*me D*pot).  Its twice the price, yet the flow rate is SO much bette"
Neutral,Negative,3.0,Made Cheap Sold Expensive,Made Cheap Sold Expensive. Expensive but not available elsewhere online any cheaper. Next time I'll try looking at junk yards with old fridges.
Positive,Neutral,4.0,Good product needs filter,Good product needs filter. Wish it had built in air purifier/ cover. This thing still puts out dust.
Positive,Neutral,5.0,Five Stars,"Five Stars. Appears to be the original product, works well will see how long it last under average use."
Negative,Positive,1.0,Two Stars,Two Stars. It stated that it would fit my washer and this was incorrect information.
Positive,Negative,5.0,good and solid dryer,"good and solid dryer. I purchased this dryer from abc warehouse, not amizon because of cost for shipping, but its the same dryer anyway. so I am going to cover "
Neutral,Negative,3.0,Time consuming,"Time consuming. Uniform sized and thickness; however, take too long (over three hours) to make a batch, especially if one has a moderate sized party to plan."
Neutral,Positive,3.0,These Filters Serve the Purpose,"These Filters Serve the Purpose. These filters fit the bill as lower-cost substitutes for the brand-name filters. They seem to work satisfactorily, although I t"
Positive,Negative,5.0,Looks like the real deal.,"Looks like the real deal.. My apologies to the seller! After my 3rd water filter and the replace light would not turn off, I contacted Lowe's. I found out I nee"
Neutral,Positive,3.0,Do the trick but expensive.,Do the trick but expensive.. Work as advertised but very pricy.
Neutral,Positive,3.0,Works greet.,Works greet.. very happy with my purchase. Only complaint I have is that it was dented on the bottom of left side.
Positive,Neutral,4.0,Four Stars,"Four Stars. Didn't need it, returned"
Positive,Negative,5.0,WOULD BUY AGAIN,WOULD BUY AGAIN. WOULD BUY AGAIN
Neutral,Negative,3.0,Three Stars,"Three Stars. Disappointed in these filters, they hardly last a month and start falling apart."
Positive,Neutral,4.0,OK by me,OK by me. All monitors seem to read differently. but I do like this one
Negative,Neutral,2.0,Not good,"Not good. Very flimsy - almost as thin as aluminum foil. The dimensions are not big enough to cover a burner, so I end up still having to clean a lot of fallen "
Neutral,Negative,3.0,"You get what you pay for, readers inaccurate","You get what you pay for, readers inaccurate. i ordered three of them and put them all next to each other in the same room. each of them were way off from one a"
Positive,Neutral,4.0,Relacement filters were OK and Performed Satisfactorily,Relacement filters were OK and Performed Satisfactorily. OK.
Negative,Positive,1.0,The Pure Wash made our clothes STINK and did NOT get them clean!  We had it DISCONNECTED!!!,The Pure Wash made our clothes STINK and did NOT get them clean!  We had it DISCONNECTED!!!. Our pureWash Laundry System was finally disconnected today and our 
Neutral,Positive,3.0,Not Easy to Replace,Not Easy to Replace. Replacing my defective ice maker with this one was not quick and easy as I expected. The replacement wire harness connector did not seat co
Negative,Neutral,2.0,More cream than wax. Greasy finish. Hold doesn't last. Smells too strong.,More cream than wax. Greasy finish. Hold doesn't last. Smells too strong.. I thought it was supposed to be a wax product but it's more of a cream and it finishe
Neutral,Positive,3.0,Three Stars,"Three Stars. Looks original, but is slightly under sized."
Positive,Neutral,5.0,Five Stars,"Five Stars. Great, no dents or damage"
Positive,Neutral,5.0,It works,It works. It seems to work.  Must run a fair amount of water through it as suggested on the box.
Positive,Negative,4.0,Drip Pro Hose End Timer,Drip Pro Hose End Timer. I purchased two of these mechanical timers for the 2011 gardening season and they have both worked out just fine.  The Drip Pro's don't
Negative,Positive,1.0,This is just the cover that goes on the front ...,"This is just the cover that goes on the front .... This is just the cover that goes on the front of the machine, the electronic components are NOT included."
Positive,Negative,5.0,dishwasher sign,dishwasher sign. Have used this item for atleast 9 years so everyone in the family is aware of the status of the dishwasher.  It broke - and wanted another one.
Negative,Neutral,2.0,"Looks good, but difficult to install to to design flaws.","Looks good, but difficult to install to to design flaws.. The unit came with a small dent on the front right side where you can see it. See photo. I would have "
Positive,Neutral,5.0,Quality line,"Quality line. This comes with both parts of the compression valve. The inner part is impregnated into the plastic line, so you CANNOT make it a custom length."
Negative,Neutral,2.0,works well,"works well. This would get 4 stars, except the price is ridiculous. I bought this exact same one at Home Depot for $99. The only things i don't like about it, i"
Neutral,Positive,3.0,Three Stars,Three Stars. Great works the same as the LG
Positive,Neutral,4.0,it works fine. its an ok,it works fine. its an ok. it was not frosted. I thought the bulb was frosted. it works fine. its an ok color
Positive,Negative,5.0,Five Stars,Five Stars. stopped the washer leaks!
Positive,Negative,5.0,They don't clean like they should,They don't clean like they should. So.......if you've been shopping for a fancy washing machine and wonder if your sneaking suspicions were true that these new 
Positive,Negative,5.0,Recommend!,Recommend!. Have had it in for about 2 months. They work just like the LG brand but way less expensive. Worth it to not buy brand name.
Positive,Neutral,4.0,Good Light Support Socks,Good Light Support Socks. These compression socks are good if you need light support. The material is very comfortable and it is very easy to put on.  The open 
Negative,Neutral,2.0,good idea,good idea. Use only out side or in bath tub. Leaked alot from the center and the lid not sure if the new lid is better then the old but this one dosnt seal well
